;PIB;Trabalho;Cambio
BRA-1950;86574058171913;2042;0,789407279339
BRA-1951;908136765960718;2051.02;0,079297923288
BRA-1952;99449221807915;2060.08;0,079297923288
BRA-1953;104503139389144;2069.18;0,856084232882
BRA-1954;113076079199048;2078.31;1,309725509380
BRA-1955;120375315183613;2087.49;1,785989275962
BRA-1956;124745030504981;2096.71;2,059841098068
BRA-1957;137270129797878;2105.97;2,178906888435
BRA-1958;146030662023065;2115.27;2,750423489016
BRA-1959;157291121007259;2124.62;4,345907500391
BRA-1960;16949982710784;2134;8,096485040423
BRA-1961;193353921236025;2135.1;1,166846318894
BRA-1962;203356220512401;2136.2;16,788300041206
BRA-1963;216464956193858;2137.29;24,884784274807
BRA-1964;225476628021434;2138.39;5,417501186992
BRA-1965;241192094494337;2139.49;82,155505484017
BRA-1966;250752649905435;2140.59;96,086221715497
BRA-1967;265130389811011;2141.69;115,255841598141
BRA-1968;294824521719399;2142.8;146,451128293693
BRA-1969;313737917627444;2143.9;176,217616629804
BRA-1970;348008565960001;2145;198,785378344809
BRA-1971;387472737339883;2128.54;228,822086312487
BRA-1972;433736982178663;2112.21;256,796001993275
BRA-1973;49433003858888;2096;265,094052783721
BRA-1974;53461793673396;2079.77;29,383610615176
BRA-1975;562257684062948;2063.67;35,168444719385
BRA-1976;619945322447678;2047.69;461,870733099062
BRA-1977;650508626844197;2031.83;612,086729455843
BRA-1978;682838905598612;2016.1;781,974984419137
BRA-1979;728998815617153;2000.49;116,606907200630
BRA-1980;796285406298594;1985;2281,231892444430
BRA-1981;762443276530868;1974.1;4030,010935313260
BRA-1982;768771555725847;1963.25;7768,544271710990
BRA-1983;746246549143448;1952.47;24971,817222113500
BRA-1984;786543862797179;1941.75;79974,132397413700
BRA-1985;8482796905878;1931.08;268324,234084592000
BRA-1986;911815839412853;1920.47;590968,226749251000
BRA-1987;944002938544157;1909.92;169763,078245840000
BRA-1988;943436536780884;1899.43;1135476,737403700000
BRA-1989;973249131343441;1889;122638743,473744000000
BRA-1990;930912794129727;1879;2955726789,426990000000
BRA-1991;940501195909256;1874.23;0.000175961443086024
BRA-1992;936266927038139;1869.48;0.00195302352248811
BRA-1993;981546606817014;1864.73;0.038276610926673
BRA-1994;103898974724554;1860;0.664683514070577
BRA-1995;108287245162304;1855.23;0.917666666666667
BRA-1996;110615991572043;1850.48;10051,000000000000
BRA-1997;114349562753748;1845.73;107799166666667,000000000000
BRA-1998;114389986728758;1841;116051666666667,000000000000
BRA-1999;114680611932456;1841;181393284657213,000000000000
BRA-2000;119618985213025;1841;182942312207561,000000000000
BRA-2001;121189724607939;1841;234963170932244,000000000000
BRA-2002;124411061509865;1841;292036301775519,000000000000
BRA-2003;125837583403078;1841;307747511847801,000000000000
BRA-2004;133025794085989;1841;292511944951586,000000000000
BRA-2005;1372289.75;1841;243439003623188,000000000000
BRA-2006;142659173649897;1841;217532666666667,000000000000
BRA-2007;15134912970311;1841;194705833333333,000000000000
BRA-2008;159162535120867;1841;183376666666667,000000000000
BRA-2009;158635213293198;1841;199942817314426,000000000000
BRA-2010;170586168269867;1841;175922671058718,000000000000
BRA-2011;175248091799407;1841;167282875525659,000000000000
